		Total Processors: 5

----------------|  Proc # 0  |  Proc # 1  |  Proc # 2  |  Proc # 3  |  Proc # 4  | Regular Queue  | Priority Queue |----------------
  Time:   666   | Type D,  1 | Type D,  5 | Type C,  7 | Type C,  1 | Type A,  1 | Q Total:     1 | No queue items | 
  Time:   667   | Type D, 21 | Type D,  4 | Type C,  6 | Type B,  6 | Not Active | No queue items | No queue items | 
  Time:   668   | Type D, 20 | Type D,  3 | Type C,  5 | Type B,  5 | Not Active | No queue items | No queue items | 
  Time:   669   | Type D, 19 | Type D,  2 | Type C,  4 | Type B,  4 | Not Active | No queue items | No queue items | 
  Time:   670   | Type D, 18 | Type D,  1 | Type C,  3 | Type B,  3 | Type C, 12 | No queue items | No queue items | 
  Time:   671   | Type D, 17 | Type A,  4 | Type C,  2 | Type B,  2 | Type C, 11 | Q Total:     1 | No queue items | 
  Time:   672   | Type D, 16 | Type A,  3 | Type C,  1 | Type B,  1 | Type C, 10 | Q Total:     1 | No queue items | 
  Time:   673   | Type D, 15 | Type A,  2 | Type B,  8 | Not Active | Type C,  9 | No queue items | No queue items | 
  Time:   674   | Type D, 14 | Type A,  1 | Type B,  7 | Not Active | Type C,  8 | No queue items | No queue items | 
  Time:   675   | Type D, 13 | Type D,  5 | Type B,  6 | Not Active | Type C,  7 | No queue items | No queue items | 
  Time:   676   | Type D, 12 | Type D,  4 | Type B,  5 | Not Active | Type C,  6 | No queue items | No queue items | 
  Time:   677   | Type D, 11 | Type D,  3 | Type B,  4 | Type A,  2 | Type C,  5 | No queue items | No queue items | 
  Time:   678   | Type D, 10 | Type D,  2 | Type B,  3 | Type A,  1 | Type C,  4 | Q Total:     1 | No queue items | 
  Time:   679   | Type D,  9 | Type D,  1 | Type D, 17 | Type B,  2 | Type C,  3 | Q Total:     2 | No queue items | 
  Time:   680   | Type D,  8 | Type C,  6 | Type D, 16 | Type B,  1 | Type C,  2 | Q Total:     1 | No queue items | 
  Time:   681   | Type D,  7 | Type C,  5 | Type D, 15 | Type B,  8 | Type C,  1 | No queue items | No queue items | 
  Time:   682   | Type D,  6 | Type C,  4 | Type D, 14 | Type B,  7 | Type A,  5 | No queue items | No queue items | 
  Time:   683   | Type D,  5 | Type C,  3 | Type D, 13 | Type B,  6 | Type A,  4 | No queue items | No queue items | 
  Time:   684   | Type D,  4 | Type C,  2 | Type D, 12 | Type B,  5 | Type A,  3 | No queue items | No queue items | 
  Time:   685   | Type D,  3 | Type C,  1 | Type D, 11 | Type B,  4 | Type A,  2 | Q Total:     1 | No queue items | 
  Time:   686   | Type D,  2 | Type B,  3 | Type D, 10 | Type B,  3 | Type A,  1 | No queue items | No queue items | 
  Time:   687   | Type D,  1 | Type B,  2 | Type D,  9 | Type B,  2 | Not Active | No queue items | No queue items | 
  Time:   688   | Type A,  2 | Type B,  1 | Type D,  8 | Type B,  1 | Not Active | No queue items | No queue items | 
  Time:   689   | Type A,  1 | Type C,  7 | Type D,  7 | Not Active | Not Active | No queue items | No queue items | 
  Time:   690   | Not Active | Type C,  6 | Type D,  6 | Not Active | Not Active | No queue items | No queue items | 
  Time:   691   | Type B,  6 | Type C,  5 | Type D,  5 | Not Active | Not Active | No queue items | No queue items | 
  Time:   692   | Type D, 17 | Type C,  4 | Type D,  4 | Type B,  5 | Not Active | No queue items | No queue items | 
  Time:   693   | Type D, 16 | Type C,  3 | Type D,  3 | Type B,  4 | Type A,  5 | No queue items | No queue items | 
  Time:   694   | Type D, 15 | Type C,  2 | Type D,  2 | Type B,  3 | Type A,  4 | No queue items | No queue items | 
  Time:   695   | Type D, 14 | Type C,  1 | Type D,  1 | Type B,  2 | Type A,  3 | No queue items | No queue items | 
  Time:   696   | Type D, 13 | Not Active | Not Active | Type B,  1 | Type A,  2 | No queue items | No queue items | 
  Time:   697   | Type D, 12 | Not Active | Not Active | Not Active | Type A,  1 | No queue items | No queue items | 
  Time:   698   | Type D, 11 | Type B,  5 | Not Active | Not Active | Not Active | No queue items | No queue items | 
  Time:   699   | Type D, 10 | Type B,  4 | Type A,  3 | Not Active | Not Active | No queue items | No queue items | 
----------------|  Proc # 0  |  Proc # 1  |  Proc # 2  |  Proc # 3  |  Proc # 4  | Regular Queue  | Priority Queue |----------------
  Time:   700   | Type D,  9 | Type B,  3 | Type A,  2 | Not Active | Not Active | No queue items | No queue items | 
  Time:   701   | Type D,  8 | Type B,  2 | Type A,  1 | Not Active | Not Active | No queue items | No queue items | 
  Time:   702   | Type D,  7 | Type D, 15 | Type B,  1 | Type C,  9 | Not Active | No queue items | No queue items | 
  Time:   703   | Type D,  6 | Type D, 14 | Not Active | Type C,  8 | Not Active | No queue items | No queue items | 
  Time:   704   | Type D,  5 | Type D, 13 | Not Active | Type C,  7 | Not Active | No queue items | No queue items | 
  Time:   705   | Type D,  4 | Type D, 12 | Type A,  1 | Type C,  6 | Type B,  4 | No queue items | No queue items | 
  Time:   706   | Type D,  3 | Type D, 11 | Not Active | Type C,  5 | Type B,  3 | No queue items | No queue items | 
  Time:   707   | Type D,  2 | Type D, 10 | Not Active | Type C,  4 | Type B,  2 | No queue items | No queue items | 
  Time:   708   | Type D,  1 | Type D,  9 | Type C,  7 | Type C,  3 | Type B,  1 | No queue items | No queue items | 
  Time:   709   | Type A,  5 | Type D,  8 | Type C,  6 | Type C,  2 | Not Active | No queue items | No queue items | 
  Time:   710   | Type A,  4 | Type D,  7 | Type C,  5 | Type C,  1 | Not Active | No queue items | No queue items | 
  Time:   711   | Type A,  3 | Type D,  6 | Type C,  4 | Type B,  4 | Not Active | No queue items | No queue items | 
  Time:   712   | Type A,  2 | Type D,  5 | Type C,  3 | Type B,  3 | Not Active | No queue items | No queue items | 
  Time:   713   | Type D, 16 | Type D,  4 | Type C,  2 | Type B,  2 | Type A,  1 | No queue items | No queue items | 
  Time:   714   | Type D, 15 | Type D,  3 | Type C,  1 | Type B,  1 | Not Active | No queue items | No queue items | 
  Time:   715   | Type D, 14 | Type D,  2 | Type A,  4 | Not Active | Not Active | No queue items | No queue items | 
  Time:   716   | Type D, 13 | Type D,  1 | Type A,  3 | Not Active | Not Active | No queue items | No queue items | 
  Time:   717   | Type D, 12 | Not Active | Type A,  2 | Not Active | Not Active | No queue items | No queue items | 
  Time:   718   | Type D, 11 | Type D, 17 | Type A,  1 | Type B,  7 | Not Active | No queue items | No queue items | 
  Time:   719   | Type D, 10 | Type D, 16 | Type A,  5 | Type B,  6 | Not Active | No queue items | No queue items | 
  Time:   720   | Type D,  9 | Type D, 15 | Type A,  4 | Type B,  5 | Not Active | No queue items | No queue items | 
  Time:   721   | Type D,  8 | Type D, 14 | Type A,  3 | Type B,  4 | Not Active | No queue items | No queue items | 
  Time:   722   | Type D,  7 | Type D, 13 | Type A,  2 | Type B,  3 | Type C,  8 | No queue items | No queue items | 
  Time:   723   | Type D,  6 | Type D, 12 | Type A,  1 | Type B,  2 | Type C,  7 | Q Total:     1 | No queue items | 
  Time:   724   | Type D,  5 | Type D, 11 | Type A,  4 | Type B,  1 | Type C,  6 | Q Total:     1 | No queue items | 
  Time:   725   | Type D,  4 | Type D, 10 | Type A,  3 | Type B,  3 | Type C,  5 | No queue items | No queue items | 
  Time:   726   | Type D,  3 | Type D,  9 | Type A,  2 | Type B,  2 | Type C,  4 | No queue items | No queue items | 
  Time:   727   | Type D,  2 | Type D,  8 | Type A,  1 | Type B,  1 | Type C,  3 | Q Total:     1 | No queue items | 
  Time:   728   | Type D,  1 | Type D,  7 | Type D, 10 | Type C,  7 | Type C,  2 | Q Total:     1 | No queue items | 
  Time:   729   | Type A,  1 | Type D,  6 | Type D,  9 | Type C,  6 | Type C,  1 | No queue items | No queue items | 
  Time:   730   | Not Active | Type D,  5 | Type D,  8 | Type C,  5 | Not Active | No queue items | No queue items | 
  Time:   731   | Type B,  4 | Type D,  4 | Type D,  7 | Type C,  4 | Not Active | No queue items | No queue items | 
  Time:   732   | Type D, 15 | Type D,  3 | Type D,  6 | Type C,  3 | Type B,  3 | No queue items | No queue items | 
  Time:   733   | Type D, 14 | Type D,  2 | Type D,  5 | Type C,  2 | Type B,  2 | No queue items | No queue items | 
  Time:   734   | Type D, 13 | Type D,  1 | Type D,  4 | Type C,  1 | Type B,  1 | Q Total:     2 | No queue items | 
  Time:   735   | Type D, 12 | Type A,  1 | Type D,  3 | Type C,  8 | Not Active | No queue items | No queue items | 
  Time:   736   | Type D, 11 | Not Active | Type D,  2 | Type C,  7 | Not Active | No queue items | No queue items | 
  Time:   737   | Type D, 10 | Type B,  5 | Type D,  1 | Type C,  6 | Not Active | No queue items | No queue items | 
  Time:   738   | Type D,  9 | Type B,  4 | Not Active | Type C,  5 | Not Active | No queue items | No queue items | 
  Time:   739   | Type D,  8 | Type B,  3 | Type A,  2 | Type C,  4 | Not Active | No queue items | No queue items | 
  Time:   740   | Type D,  7 | Type B,  2 | Type A,  1 | Type C,  3 | Not Active | No queue items | No queue items | 
  Time:   741   | Type D,  6 | Type D, 20 | Type B,  1 | Type C,  2 | Not Active | No queue items | No queue items | 
  Time:   742   | Type D,  5 | Type D, 19 | Type C,  7 | Type C,  1 | Not Active | No queue items | No queue items | 
  Time:   743   | Type D,  4 | Type D, 18 | Type C,  6 | Type A,  3 | Not Active | No queue items | No queue items | 
  Time:   744   | Type D,  3 | Type D, 17 | Type C,  5 | Type A,  2 | Not Active | No queue items | No queue items | 
  Time:   745   | Type D,  2 | Type D, 16 | Type C,  4 | Type A,  1 | Type B,  6 | No queue items | No queue items | 
  Time:   746   | Type D,  1 | Type D, 15 | Type C,  3 | Not Active | Type B,  5 | No queue items | No queue items | 
  Time:   747   | Not Active | Type D, 14 | Type C,  2 | Not Active | Type B,  4 | No queue items | No queue items | 
  Time:   748   | Type A,  3 | Type D, 13 | Type C,  1 | Not Active | Type B,  3 | No queue items | No queue items | 
  Time:   749   | Type A,  2 | Type D, 12 | Not Active | Not Active | Type B,  2 | No queue items | No queue items | 
----------------|  Proc # 0  |  Proc # 1  |  Proc # 2  |  Proc # 3  |  Proc # 4  | Regular Queue  | Priority Queue |----------------
  Time:   750   | Type A,  1 | Type D, 11 | Not Active | Not Active | Type B,  1 | No queue items | No queue items | 
  Time:   751   | Not Active | Type D, 10 | Not Active | Not Active | Not Active | No queue items | No queue items | 
  Time:   752   | Type B,  4 | Type D,  9 | Not Active | Not Active | Not Active | No queue items | No queue items | 
  Time:   753   | Type D,  7 | Type D,  8 | Type B,  3 | Not Active | Not Active | No queue items | No queue items | 
  Time:   754   | Type D,  6 | Type D,  7 | Type B,  2 | Type A,  5 | Not Active | No queue items | No queue items | 
  Time:   755   | Type D,  5 | Type D,  6 | Type B,  1 | Type A,  4 | Not Active | No queue items | No queue items | 
  Time:   756   | Type D,  4 | Type D,  5 | Type C,  7 | Type A,  3 | Not Active | No queue items | No queue items | 
  Time:   757   | Type D,  3 | Type D,  4 | Type C,  6 | Type A,  2 | Not Active | No queue items | No queue items | 
  Time:   758   | Type D,  2 | Type D,  3 | Type C,  5 | Type A,  1 | Not Active | No queue items | No queue items | 
  Time:   759   | Type D,  1 | Type D,  2 | Type C,  4 | Type B,  8 | Not Active | No queue items | No queue items | 
  Time:   760   | Type A,  5 | Type D,  1 | Type C,  3 | Type B,  7 | Not Active | No queue items | No queue items | 
  Time:   761   | Type A,  4 | Not Active | Type C,  2 | Type B,  6 | Not Active | No queue items | No queue items | 
  Time:   762   | Type A,  3 | Not Active | Type C,  1 | Type B,  5 | Not Active | No queue items | No queue items | 
  Time:   763   | Type A,  2 | Not Active | Not Active | Type B,  4 | Not Active | No queue items | No queue items | 
  Time:   764   | Type A,  1 | Not Active | Not Active | Type B,  3 | Not Active | No queue items | No queue items | 
  Time:   765   | Type B,  2 | Not Active | Not Active | Type B,  2 | Not Active | No queue items | No queue items | 
  Time:   766   | Type B,  1 | Type A,  5 | Not Active | Type B,  1 | Not Active | No queue items | No queue items | 
  Time:   767   | Type D, 17 | Type A,  4 | Not Active | Not Active | Not Active | No queue items | No queue items | 
  Time:   768   | Type D, 16 | Type A,  3 | Not Active | Not Active | Not Active | No queue items | No queue items | 
  Time:   769   | Type D, 15 | Type A,  2 | Not Active | Not Active | Not Active | No queue items | No queue items | 
  Time:   770   | Type D, 14 | Type A,  1 | Not Active | Not Active | Not Active | No queue items | No queue items | 
  Time:   771   | Type D, 13 | Type A,  3 | Type B,  6 | Not Active | Not Active | No queue items | No queue items | 
  Time:   772   | Type D, 12 | Type D,  7 | Type B,  5 | Type A,  2 | Type C,  9 | No queue items | No queue items | 
  Time:   773   | Type D, 11 | Type D,  6 | Type B,  4 | Type A,  1 | Type C,  8 | No queue items | No queue items | 
  Time:   774   | Type D, 10 | Type D,  5 | Type B,  3 | Not Active | Type C,  7 | No queue items | No queue items | 
  Time:   775   | Type D,  9 | Type D,  4 | Type B,  2 | Not Active | Type C,  6 | No queue items | No queue items | 
  Time:   776   | Type D,  8 | Type D,  3 | Type B,  1 | Not Active | Type C,  5 | No queue items | No queue items | 
  Time:   777   | Type D,  7 | Type D,  2 | Type A,  1 | Not Active | Type C,  4 | No queue items | No queue items | 
  Time:   778   | Type D,  6 | Type D,  1 | Not Active | Not Active | Type C,  3 | No queue items | No queue items | 
  Time:   779   | Type D,  5 | Type B,  6 | Not Active | Not Active | Type C,  2 | No queue items | No queue items | 
  Time:   780   | Type D,  4 | Type B,  5 | Not Active | Not Active | Type C,  1 | No queue items | No queue items | 
  Time:   781   | Type D,  3 | Type D, 12 | Type B,  4 | Not Active | Not Active | No queue items | No queue items | 
  Time:   782   | Type D,  2 | Type D, 11 | Type B,  3 | Not Active | Not Active | No queue items | No queue items | 
  Time:   783   | Type D,  1 | Type D, 10 | Type B,  2 | Type A,  5 | Not Active | No queue items | No queue items | 
  Time:   784   | Not Active | Type D,  9 | Type B,  1 | Type A,  4 | Not Active | No queue items | No queue items | 
  Time:   785   | Not Active | Type D,  8 | Not Active | Type A,  3 | Not Active | No queue items | No queue items | 
  Time:   786   | Type C,  6 | Type D,  7 | Not Active | Type A,  2 | Not Active | No queue items | No queue items | 
  Time:   787   | Type C,  5 | Type D,  6 | Type B,  6 | Type A,  1 | Not Active | No queue items | No queue items | 
  Time:   788   | Type C,  4 | Type D,  5 | Type B,  5 | Type A,  3 | Not Active | No queue items | No queue items | 
  Time:   789   | Type C,  3 | Type D,  4 | Type B,  4 | Type A,  2 | Not Active | No queue items | No queue items | 
  Time:   790   | Type D, 12 | Type D,  3 | Type B,  3 | Type A,  1 | Type C,  2 | No queue items | No queue items | 
  Time:   791   | Type D, 11 | Type D,  2 | Type B,  2 | Not Active | Type C,  1 | No queue items | No queue items | 
  Time:   792   | Type D, 10 | Type D,  1 | Type B,  1 | Type C,  9 | Not Active | No queue items | No queue items | 
  Time:   793   | Type D,  9 | Type A,  1 | Type B,  6 | Type C,  8 | Not Active | No queue items | No queue items | 
  Time:   794   | Type D,  8 | Not Active | Type B,  5 | Type C,  7 | Not Active | No queue items | No queue items | 
  Time:   795   | Type D,  7 | Not Active | Type B,  4 | Type C,  6 | Not Active | No queue items | No queue items | 
  Time:   796   | Type D,  6 | Not Active | Type B,  3 | Type C,  5 | Not Active | No queue items | No queue items | 
  Time:   797   | Type D,  5 | Not Active | Type B,  2 | Type C,  4 | Not Active | No queue items | No queue items | 
  Time:   798   | Type D,  4 | Type A,  4 | Type B,  1 | Type C,  3 | Not Active | No queue items | No queue items | 
  Time:   799   | Type D,  3 | Type A,  3 | Not Active | Type C,  2 | Not Active | No queue items | No queue items | 
----------------|  Proc # 0  |  Proc # 1  |  Proc # 2  |  Proc # 3  |  Proc # 4  | Regular Queue  | Priority Queue |----------------
  Time:   800   | Type D,  2 | Type A,  2 | Type C,  9 | Type C,  1 | Not Active | No queue items | No queue items | 
  Time:   801   | Type D,  1 | Type D, 14 | Type C,  8 | Type A,  1 | Type B,  7 | No queue items | No queue items | 
  Time:   802   | Not Active | Type D, 13 | Type C,  7 | Not Active | Type B,  6 | No queue items | No queue items | 
  Time:   803   | Not Active | Type D, 12 | Type C,  6 | Not Active | Type B,  5 | No queue items | No queue items | 
  Time:   804   | Type A,  4 | Type D, 11 | Type C,  5 | Not Active | Type B,  4 | No queue items | No queue items | 
  Time:   805   | Type A,  3 | Type D, 10 | Type C,  4 | Not Active | Type B,  3 | No queue items | No queue items | 
  Time:   806   | Type A,  2 | Type D,  9 | Type C,  3 | Not Active | Type B,  2 | No queue items | No queue items | 
  Time:   807   | Type A,  1 | Type D,  8 | Type C,  2 | Not Active | Type B,  1 | No queue items | No queue items | 
  Time:   808   | Not Active | Type D,  7 | Type C,  1 | Not Active | Not Active | No queue items | No queue items | 
  Time:   809   | Type A,  2 | Type D,  6 | Type B,  5 | Not Active | Not Active | No queue items | No queue items | 
  Time:   810   | Type A,  1 | Type D,  5 | Type B,  4 | Not Active | Not Active | No queue items | No queue items | 
  Time:   811   | Not Active | Type D,  4 | Type B,  3 | Not Active | Not Active | No queue items | No queue items | 
  Time:   812   | Not Active | Type D,  3 | Type B,  2 | Not Active | Not Active | No queue items | No queue items | 
  Time:   813   | Not Active | Type D,  2 | Type B,  1 | Not Active | Not Active | No queue items | No queue items | 
  Time:   814   | Type D,  3 | Type D,  1 | Type A,  5 | Not Active | Not Active | No queue items | No queue items | 
  Time:   815   | Type D,  2 | Type B,  2 | Type A,  4 | Type C,  7 | Not Active | No queue items | No queue items | 
  Time:   816   | Type D,  1 | Type B,  1 | Type A,  3 | Type C,  6 | Not Active | No queue items | No queue items | 
  Time:   817   | Not Active | Not Active | Type A,  2 | Type C,  5 | Not Active | No queue items | No queue items | 
  Time:   818   | Not Active | Not Active | Type A,  1 | Type C,  4 | Not Active | No queue items | No queue items | 
  Time:   819   | Type A,  3 | Not Active | Not Active | Type C,  3 | Not Active | No queue items | No queue items | 
  Time:   820   | Type A,  2 | Not Active | Not Active | Type C,  2 | Not Active | No queue items | No queue items | 
  Time:   821   | Type A,  1 | Type B,  4 | Not Active | Type C,  1 | Not Active | No queue items | No queue items | 
  Time:   822   | Type D, 15 | Type B,  3 | Not Active | Not Active | Not Active | No queue items | No queue items | 
  Time:   823   | Type D, 14 | Type B,  2 | Type A,  5 | Not Active | Not Active | No queue items | No queue items | 
  Time:   824   | Type D, 13 | Type B,  1 | Type A,  4 | Type C, 12 | Not Active | No queue items | No queue items | 
  Time:   825   | Type D, 12 | Not Active | Type A,  3 | Type C, 11 | Not Active | No queue items | No queue items | 
  Time:   826   | Type D, 11 | Not Active | Type A,  2 | Type C, 10 | Not Active | No queue items | No queue items | 
  Time:   827   | Type D, 10 | Not Active | Type A,  1 | Type C,  9 | Not Active | No queue items | No queue items | 
  Time:   828   | Type D,  9 | Type A,  1 | Type B,  4 | Type C,  8 | Not Active | No queue items | No queue items | 
  Time:   829   | Type D,  8 | Not Active | Type B,  3 | Type C,  7 | Not Active | No queue items | No queue items | 
  Time:   830   | Type D,  7 | Type C, 12 | Type B,  2 | Type C,  6 | Not Active | No queue items | No queue items | 
  Time:   831   | Type D,  6 | Type C, 11 | Type B,  1 | Type C,  5 | Not Active | No queue items | No queue items | 
  Time:   832   | Type D,  5 | Type C, 10 | Type A,  2 | Type C,  4 | Not Active | No queue items | No queue items | 
  Time:   833   | Type D,  4 | Type C,  9 | Type A,  1 | Type C,  3 | Not Active | No queue items | No queue items | 
  Time:   834   | Type D,  3 | Type D, 15 | Type C,  8 | Type C,  2 | Not Active | No queue items | No queue items | 
  Time:   835   | Type D,  2 | Type D, 14 | Type C,  7 | Type C,  1 | Type B,  2 | No queue items | No queue items | 
  Time:   836   | Type D,  1 | Type D, 13 | Type C,  6 | Not Active | Type B,  1 | No queue items | No queue items | 
  Time:   837   | Not Active | Type D, 12 | Type C,  5 | Not Active | Not Active | No queue items | No queue items | 
  Time:   838   | Type A,  1 | Type D, 11 | Type C,  4 | Not Active | Not Active | No queue items | No queue items | 
  Time:   839   | Not Active | Type D, 10 | Type C,  3 | Not Active | Not Active | No queue items | No queue items | 
  Time:   840   | Not Active | Type D,  9 | Type C,  2 | Not Active | Not Active | No queue items | No queue items | 
  Time:   841   | Not Active | Type D,  8 | Type C,  1 | Not Active | Not Active | No queue items | No queue items | 
  Time:   842   | Type B,  7 | Type D,  7 | Not Active | Not Active | Not Active | No queue items | No queue items | 
  Time:   843   | Type B,  6 | Type D,  6 | Not Active | Not Active | Not Active | No queue items | No queue items | 
  Time:   844   | Type B,  5 | Type D,  5 | Type A,  3 | Not Active | Not Active | No queue items | No queue items | 
  Time:   845   | Type D, 12 | Type D,  4 | Type A,  2 | Type B,  4 | Not Active | No queue items | No queue items | 
  Time:   846   | Type D, 11 | Type D,  3 | Type A,  1 | Type B,  3 | Not Active | No queue items | No queue items | 
  Time:   847   | Type D, 10 | Type D,  2 | Not Active | Type B,  2 | Not Active | No queue items | No queue items | 
  Time:   848   | Type D,  9 | Type D,  1 | Type C, 12 | Type B,  1 | Not Active | No queue items | No queue items | 
  Time:   849   | Type D,  8 | Not Active | Type C, 11 | Not Active | Not Active | No queue items | No queue items | 
----------------|  Proc # 0  |  Proc # 1  |  Proc # 2  |  Proc # 3  |  Proc # 4  | Regular Queue  | Priority Queue |----------------
  Time:   850   | Type D,  7 | Type A,  5 | Type C, 10 | Type B,  5 | Not Active | No queue items | No queue items | 
  Time:   851   | Type D,  6 | Type A,  4 | Type C,  9 | Type B,  4 | Not Active | No queue items | No queue items | 
  Time:   852   | Type D,  5 | Type A,  3 | Type C,  8 | Type B,  3 | Not Active | No queue items | No queue items | 
  Time:   853   | Type D,  4 | Type A,  2 | Type C,  7 | Type B,  2 | Not Active | No queue items | No queue items | 
  Time:   854   | Type D,  3 | Type D, 18 | Type C,  6 | Type B,  1 | Type A,  1 | Q Total:     1 | No queue items | 
  Time:   855   | Type D,  2 | Type D, 17 | Type C,  5 | Type A,  2 | Not Active | No queue items | No queue items | 
  Time:   856   | Type D,  1 | Type D, 16 | Type C,  4 | Type A,  1 | Type B,  5 | No queue items | No queue items | 
  Time:   857   | Not Active | Type D, 15 | Type C,  3 | Not Active | Type B,  4 | No queue items | No queue items | 
  Time:   858   | Not Active | Type D, 14 | Type C,  2 | Not Active | Type B,  3 | No queue items | No queue items | 
  Time:   859   | Not Active | Type D, 13 | Type C,  1 | Not Active | Type B,  2 | No queue items | No queue items | 
  Time:   860   | Type A,  2 | Type D, 12 | Not Active | Not Active | Type B,  1 | No queue items | No queue items | 
  Time:   861   | Type D, 19 | Type D, 11 | Type A,  1 | Not Active | Not Active | No queue items | No queue items | 
  Time:   862   | Type D, 18 | Type D, 10 | Not Active | Not Active | Not Active | No queue items | No queue items | 
  Time:   863   | Type D, 17 | Type D,  9 | Type B,  8 | Not Active | Not Active | No queue items | No queue items | 
  Time:   864   | Type D, 16 | Type D,  8 | Type B,  7 | Not Active | Not Active | No queue items | No queue items | 
  Time:   865   | Type D, 15 | Type D,  7 | Type B,  6 | Type C, 10 | Not Active | No queue items | No queue items | 
  Time:   866   | Type D, 14 | Type D,  6 | Type B,  5 | Type C,  9 | Type A,  4 | No queue items | No queue items | 
  Time:   867   | Type D, 13 | Type D,  5 | Type B,  4 | Type C,  8 | Type A,  3 | No queue items | No queue items | 
  Time:   868   | Type D, 12 | Type D,  4 | Type B,  3 | Type C,  7 | Type A,  2 | No queue items | No queue items | 
  Time:   869   | Type D, 11 | Type D,  3 | Type B,  2 | Type C,  6 | Type A,  1 | No queue items | No queue items | 
  Time:   870   | Type D, 10 | Type D,  2 | Type B,  1 | Type C,  5 | Type B,  7 | No queue items | No queue items | 
  Time:   871   | Type D,  9 | Type D,  1 | Not Active | Type C,  4 | Type B,  6 | No queue items | No queue items | 
  Time:   872   | Type D,  8 | Type A,  1 | Not Active | Type C,  3 | Type B,  5 | No queue items | No queue items | 
  Time:   873   | Type D,  7 | Not Active | Not Active | Type C,  2 | Type B,  4 | No queue items | No queue items | 
  Time:   874   | Type D,  6 | Not Active | Not Active | Type C,  1 | Type B,  3 | No queue items | No queue items | 
  Time:   875   | Type D,  5 | Type D,  7 | Not Active | Not Active | Type B,  2 | No queue items | No queue items | 
  Time:   876   | Type D,  4 | Type D,  6 | Type A,  4 | Not Active | Type B,  1 | No queue items | No queue items | 
  Time:   877   | Type D,  3 | Type D,  5 | Type A,  3 | Not Active | Not Active | No queue items | No queue items | 
  Time:   878   | Type D,  2 | Type D,  4 | Type A,  2 | Type B,  2 | Not Active | No queue items | No queue items | 
  Time:   879   | Type D,  1 | Type D,  3 | Type A,  1 | Type B,  1 | Not Active | No queue items | No queue items | 
  Time:   880   | Type A,  4 | Type D,  2 | Not Active | Not Active | Not Active | No queue items | No queue items | 
  Time:   881   | Type A,  3 | Type D,  1 | Not Active | Not Active | Not Active | No queue items | No queue items | 
  Time:   882   | Type A,  2 | Not Active | Not Active | Not Active | Not Active | No queue items | No queue items | 
  Time:   883   | Type A,  1 | Type C,  6 | Not Active | Not Active | Not Active | No queue items | No queue items | 
  Time:   884   | Type B,  4 | Type C,  5 | Not Active | Not Active | Not Active | No queue items | No queue items | 
  Time:   885   | Type B,  3 | Type C,  4 | Not Active | Not Active | Not Active | No queue items | No queue items | 
  Time:   886   | Type D, 20 | Type C,  3 | Type B,  2 | Type A,  1 | Not Active | No queue items | No queue items | 
  Time:   887   | Type D, 19 | Type C,  2 | Type B,  1 | Not Active | Not Active | No queue items | No queue items | 
  Time:   888   | Type D, 18 | Type C,  1 | Not Active | Not Active | Not Active | No queue items | No queue items | 
  Time:   889   | Type D, 17 | Not Active | Not Active | Not Active | Not Active | No queue items | No queue items | 
  Time:   890   | Type D, 16 | Type B,  8 | Not Active | Not Active | Not Active | No queue items | No queue items | 
  Time:   891   | Type D, 15 | Type B,  7 | Not Active | Not Active | Not Active | No queue items | No queue items | 
  Time:   892   | Type D, 14 | Type B,  6 | Type A,  2 | Not Active | Not Active | No queue items | No queue items | 
  Time:   893   | Type D, 13 | Type B,  5 | Type A,  1 | Type C, 12 | Not Active | No queue items | No queue items | 
  Time:   894   | Type D, 12 | Type B,  4 | Not Active | Type C, 11 | Not Active | No queue items | No queue items | 
  Time:   895   | Type D, 11 | Type B,  3 | Not Active | Type C, 10 | Not Active | No queue items | No queue items | 
  Time:   896   | Type D, 10 | Type B,  2 | Type B,  5 | Type C,  9 | Not Active | No queue items | No queue items | 
  Time:   897   | Type D,  9 | Type B,  1 | Type B,  4 | Type C,  8 | Type A,  4 | No queue items | No queue items | 
  Time:   898   | Type D,  8 | Not Active | Type B,  3 | Type C,  7 | Type A,  3 | No queue items | No queue items | 
  Time:   899   | Type D,  7 | Not Active | Type B,  2 | Type C,  6 | Type A,  2 | No queue items | No queue items | 
----------------|  Proc # 0  |  Proc # 1  |  Proc # 2  |  Proc # 3  |  Proc # 4  | Regular Queue  | Priority Queue |----------------
  Time:   900   | Type D,  6 | Type D, 21 | Type B,  1 | Type C,  5 | Type A,  1 | Q Total:     1 | No queue items | 
  Time:   901   | Type D,  5 | Type D, 20 | Type C, 12 | Type C,  4 | Type A,  3 | No queue items | No queue items | 
  Time:   902   | Type D,  4 | Type D, 19 | Type C, 11 | Type C,  3 | Type A,  2 | Q Total:     1 | No queue items | 
  Time:   903   | Type D,  3 | Type D, 18 | Type C, 10 | Type C,  2 | Type A,  1 | Q Total:     1 | No queue items | 
  Time:   904   | Type D,  2 | Type D, 17 | Type C,  9 | Type C,  1 | Type B,  6 | No queue items | No queue items | 
  Time:   905   | Type D,  1 | Type D, 16 | Type C,  8 | Not Active | Type B,  5 | No queue items | No queue items | 
  Time:   906   | Type A,  5 | Type D, 15 | Type C,  7 | Type C,  6 | Type B,  4 | No queue items | No queue items | 
  Time:   907   | Type A,  4 | Type D, 14 | Type C,  6 | Type C,  5 | Type B,  3 | No queue items | No queue items | 
