		Total Processors: 3

----------------|  Proc # 0  |  Proc # 1  |  Proc # 2  | Regular Queue  | Priority Queue |----------------
  Time:   282   | Type D,  2 | Type C,  1 | Type A,  1 | Q Total:    23 | No queue items | 
  Time:   283   | Type D,  1 | Type B,  4 | Type A,  5 | Q Total:    22 | No queue items | 
  Time:   284   | Type C,  8 | Type B,  3 | Type A,  4 | Q Total:    21 | No queue items | 
  Time:   285   | Type D, 20 | Type B,  2 | Type A,  3 | Q Total:    23 | No queue items | 
  Time:   286   | Type D, 19 | Type B,  1 | Type A,  2 | Q Total:    24 | No queue items | 
  Time:   287   | Type D, 18 | Type C,  7 | Type A,  1 | Q Total:    23 | No queue items | 
  Time:   288   | Type D, 17 | Type C,  6 | Type A,  4 | Q Total:    22 | No queue items | 
  Time:   289   | Type D, 16 | Type C,  5 | Type A,  3 | Q Total:    23 | No queue items | 
  Time:   290   | Type D, 15 | Type C,  4 | Type A,  2 | Q Total:    23 | No queue items | 
  Time:   291   | Type D, 14 | Type C,  3 | Type A,  1 | Q Total:    23 | No queue items | 
  Time:   292   | Type D, 13 | Type C,  2 | Type B,  7 | Q Total:    23 | No queue items | 
  Time:   293   | Type D, 12 | Type C,  1 | Type B,  6 | Q Total:    24 | No queue items | 
  Time:   294   | Type D, 11 | Type D, 14 | Type B,  5 | Q Total:    24 | No queue items | 
  Time:   295   | Type D, 10 | Type D, 13 | Type B,  4 | Q Total:    24 | No queue items | 
  Time:   296   | Type D,  9 | Type D, 12 | Type B,  3 | Q Total:    24 | No queue items | 
  Time:   297   | Type D,  8 | Type D, 11 | Type B,  2 | Q Total:    24 | No queue items | 
  Time:   298   | Type D,  7 | Type D, 10 | Type B,  1 | Q Total:    25 | No queue items | 
  Time:   299   | Type D,  6 | Type D,  9 | Type A,  4 | Q Total:    25 | No queue items | 
----------------|  Proc # 0  |  Proc # 1  |  Proc # 2  | Regular Queue  | Priority Queue |----------------
  Time:   300   | Type D,  5 | Type D,  8 | Type A,  3 | Q Total:    25 | No queue items | 
  Time:   301   | Type D,  4 | Type D,  7 | Type A,  2 | Q Total:    26 | No queue items | 
  Time:   302   | Type D,  3 | Type D,  6 | Type A,  1 | Q Total:    26 | No queue items | 
  Time:   303   | Type D,  2 | Type D,  5 | Type B,  7 | Q Total:    26 | No queue items | 
  Time:   304   | Type D,  1 | Type D,  4 | Type D, 22 | Q Total:    27 | No queue items | 
  Time:   305   | Type B,  6 | Type D,  3 | Type D, 21 | Q Total:    26 | No queue items | 
  Time:   306   | Type B,  5 | Type D,  2 | Type D, 20 | Q Total:    27 | No queue items | 
  Time:   307   | Type B,  4 | Type D,  1 | Type D, 19 | Q Total:    27 | No queue items | 
  Time:   308   | Type D,  8 | Type B,  3 | Type D, 18 | Q Total:    28 | No queue items | 
  Time:   309   | Type D,  7 | Type B,  2 | Type D, 17 | Q Total:    28 | No queue items | 
  Time:   310   | Type D,  6 | Type B,  1 | Type D, 16 | Q Total:    28 | No queue items | 
  Time:   311   | Type D,  5 | Type C, 11 | Type D, 15 | Q Total:    27 | No queue items | 
  Time:   312   | Type D,  4 | Type C, 10 | Type D, 14 | Q Total:    28 | No queue items | 
  Time:   313   | Type D,  3 | Type C,  9 | Type D, 13 | Q Total:    28 | No queue items | 
  Time:   314   | Type D,  2 | Type D, 14 | Type D, 12 | Q Total:    30 | No queue items | 
  Time:   315   | Type D,  1 | Type D, 13 | Type D, 11 | Q Total:    31 | No queue items | 
  Time:   316   | Type C,  8 | Type D, 12 | Type D, 10 | Q Total:    30 | No queue items | 
  Time:   317   | Type C,  7 | Type D, 11 | Type D,  9 | Q Total:    30 | No queue items | 
  Time:   318   | Type C,  6 | Type D, 10 | Type D,  8 | Q Total:    30 | No queue items | 
  Time:   319   | Type C,  5 | Type D,  9 | Type D,  7 | Q Total:    31 | No queue items | 
  Time:   320   | Type C,  4 | Type D,  8 | Type D,  6 | Q Total:    32 | No queue items | 
  Time:   321   | Type D,  9 | Type D,  7 | Type D,  5 | Q Total:    33 | No queue items | 
  Time:   322   | Type D,  8 | Type D,  6 | Type D,  4 | Q Total:    33 | No queue items | 
  Time:   323   | Type D,  7 | Type D,  5 | Type D,  3 | Q Total:    33 | No queue items | 
  Time:   324   | Type D,  6 | Type D,  4 | Type D,  2 | Q Total:    34 | No queue items | 
  Time:   325   | Type D,  5 | Type D,  3 | Type D,  1 | Q Total:    34 | No queue items | 
  Time:   326   | Type D,  4 | Type D,  2 | Type C,  3 | Q Total:    34 | No queue items | 
  Time:   327   | Type D,  3 | Type D,  1 | Type C,  2 | Q Total:    34 | No queue items | 
  Time:   328   | Type D,  2 | Type D,  7 | Type C,  1 | Q Total:    34 | No queue items | 
  Time:   329   | Type D,  1 | Type D,  6 | Type A,  3 | Q Total:    34 | No queue items | 
  Time:   330   | Type B,  6 | Type D,  5 | Type A,  2 | Q Total:    34 | No queue items | 
  Time:   331   | Type B,  5 | Type D,  4 | Type A,  1 | Q Total:    34 | No queue items | 
  Time:   332   | Type B,  4 | Type D,  3 | Type A,  2 | Q Total:    33 | No queue items | 
  Time:   333   | Type B,  3 | Type D,  2 | Type A,  1 | Q Total:    34 | No queue items | 
  Time:   334   | Type B,  2 | Type D,  1 | Type A,  1 | Q Total:    33 | No queue items | 
  Time:   335   | Type B,  1 | Type C,  8 | Type B,  7 | Q Total:    31 | No queue items | 
  Time:   336   | Type D, 18 | Type C,  7 | Type B,  6 | Q Total:    32 | No queue items | 
  Time:   337   | Type D, 17 | Type C,  6 | Type B,  5 | Q Total:    32 | No queue items | 
  Time:   338   | Type D, 16 | Type C,  5 | Type B,  4 | Q Total:    32 | No queue items | 
  Time:   339   | Type D, 15 | Type C,  4 | Type B,  3 | Q Total:    32 | No queue items | 
  Time:   340   | Type D, 14 | Type C,  3 | Type B,  2 | Q Total:    34 | No queue items | 
  Time:   341   | Type D, 13 | Type C,  2 | Type B,  1 | Q Total:    35 | No queue items | 
  Time:   342   | Type D, 12 | Type C,  1 | Type A,  4 | Q Total:    34 | No queue items | 
  Time:   343   | Type D, 11 | Type B,  6 | Type A,  3 | Q Total:    33 | No queue items | 
  Time:   344   | Type D, 10 | Type B,  5 | Type A,  2 | Q Total:    33 | No queue items | 
  Time:   345   | Type D,  9 | Type B,  4 | Type A,  1 | Q Total:    34 | No queue items | 
  Time:   346   | Type D,  8 | Type B,  3 | Type A,  1 | Q Total:    33 | No queue items | 
  Time:   347   | Type D,  7 | Type B,  2 | Type C,  8 | Q Total:    32 | No queue items | 
  Time:   348   | Type D,  6 | Type B,  1 | Type C,  7 | Q Total:    33 | No queue items | 
  Time:   349   | Type D,  5 | Type A,  2 | Type C,  6 | Q Total:    33 | No queue items | 
----------------|  Proc # 0  |  Proc # 1  |  Proc # 2  | Regular Queue  | Priority Queue |----------------
  Time:   350   | Type D,  4 | Type D, 17 | Type C,  5 | Q Total:    34 | No queue items | 
  Time:   351   | Type D,  3 | Type D, 16 | Type C,  4 | Q Total:    34 | No queue items | 
  Time:   352   | Type D,  2 | Type D, 15 | Type C,  3 | Q Total:    34 | No queue items | 
  Time:   353   | Type D,  1 | Type D, 14 | Type C,  2 | Q Total:    34 | No queue items | 
  Time:   354   | Type D,  5 | Type D, 13 | Type C,  1 | Q Total:    36 | No queue items | 
  Time:   355   | Type D,  4 | Type D, 12 | Type A,  1 | Q Total:    36 | No queue items | 
  Time:   356   | Type D,  3 | Type D, 11 | Type B,  5 | Q Total:    35 | No queue items | 
  Time:   357   | Type D,  2 | Type D, 10 | Type B,  4 | Q Total:    35 | No queue items | 
  Time:   358   | Type D,  1 | Type D,  9 | Type B,  3 | Q Total:    35 | No queue items | 
  Time:   359   | Type A,  2 | Type D,  8 | Type B,  2 | Q Total:    35 | No queue items | 
  Time:   360   | Type A,  1 | Type D,  7 | Type B,  1 | Q Total:    35 | No queue items | 
  Time:   361   | Type B,  3 | Type D,  6 | Type C,  9 | Q Total:    33 | No queue items | 
  Time:   362   | Type B,  2 | Type D,  5 | Type C,  8 | Q Total:    34 | No queue items | 
  Time:   363   | Type B,  1 | Type D,  4 | Type C,  7 | Q Total:    35 | No queue items | 
  Time:   364   | Type A,  1 | Type D,  3 | Type C,  6 | Q Total:    34 | No queue items | 
  Time:   365   | Type C,  8 | Type D,  2 | Type C,  5 | Q Total:    33 | No queue items | 
  Time:   366   | Type C,  7 | Type D,  1 | Type C,  4 | Q Total:    33 | No queue items | 
  Time:   367   | Type D,  4 | Type C,  6 | Type C,  3 | Q Total:    34 | No queue items | 
  Time:   368   | Type D,  3 | Type C,  5 | Type C,  2 | Q Total:    34 | No queue items | 
  Time:   369   | Type D,  2 | Type C,  4 | Type C,  1 | Q Total:    35 | No queue items | 
  Time:   370   | Type D,  1 | Type C,  3 | Type B,  8 | Q Total:    35 | No queue items | 
  Time:   371   | Type A,  3 | Type C,  2 | Type B,  7 | Q Total:    34 | No queue items | 
  Time:   372   | Type A,  2 | Type C,  1 | Type B,  6 | Q Total:    34 | No queue items | 
  Time:   373   | Type A,  1 | Type B,  5 | Type B,  5 | Q Total:    33 | No queue items | 
  Time:   374   | Type A,  5 | Type B,  4 | Type B,  4 | Q Total:    33 | No queue items | 
  Time:   375   | Type A,  4 | Type B,  3 | Type B,  3 | Q Total:    33 | No queue items | 
  Time:   376   | Type A,  3 | Type B,  2 | Type B,  2 | Q Total:    33 | No queue items | 
  Time:   377   | Type D, 14 | Type B,  1 | Type B,  1 | Q Total:    35 | No queue items | 
  Time:   378   | Type D, 13 | Type A,  2 | Type B,  5 | Q Total:    33 | No queue items | 
  Time:   379   | Type D, 12 | Type A,  1 | Type B,  4 | Q Total:    33 | No queue items | 
  Time:   380   | Type D, 11 | Type A,  4 | Type B,  3 | Q Total:    33 | No queue items | 
  Time:   381   | Type D, 10 | Type A,  3 | Type B,  2 | Q Total:    33 | No queue items | 
  Time:   382   | Type D,  9 | Type A,  2 | Type B,  1 | Q Total:    33 | No queue items | 
  Time:   383   | Type D,  8 | Type A,  1 | Type C,  9 | Q Total:    32 | No queue items | 
  Time:   384   | Type D,  7 | Type A,  3 | Type C,  8 | Q Total:    33 | No queue items | 
  Time:   385   | Type D,  6 | Type A,  2 | Type C,  7 | Q Total:    33 | No queue items | 
  Time:   386   | Type D,  5 | Type A,  1 | Type C,  6 | Q Total:    34 | No queue items | 
  Time:   387   | Type D,  4 | Type B,  6 | Type C,  5 | Q Total:    33 | No queue items | 
  Time:   388   | Type D,  3 | Type B,  5 | Type C,  4 | Q Total:    33 | No queue items | 
  Time:   389   | Type D,  2 | Type B,  4 | Type C,  3 | Q Total:    33 | No queue items | 
  Time:   390   | Type D,  1 | Type D, 15 | Type C,  2 | Q Total:    35 | No queue items | 
  Time:   391   | Type B,  3 | Type D, 14 | Type C,  1 | Q Total:    34 | No queue items | 
  Time:   392   | Type B,  2 | Type D, 13 | Type A,  1 | Q Total:    34 | No queue items | 
  Time:   393   | Type B,  1 | Type D, 12 | Type B,  6 | Q Total:    33 | No queue items | 
  Time:   394   | Type A,  2 | Type D, 11 | Type B,  5 | Q Total:    32 | No queue items | 
  Time:   395   | Type A,  1 | Type D, 10 | Type B,  4 | Q Total:    32 | No queue items | 
  Time:   396   | Type C, 12 | Type D,  9 | Type B,  3 | Q Total:    32 | No queue items | 
  Time:   397   | Type C, 11 | Type D,  8 | Type B,  2 | Q Total:    33 | No queue items | 
  Time:   398   | Type C, 10 | Type D,  7 | Type B,  1 | Q Total:    33 | No queue items | 
  Time:   399   | Type C,  9 | Type D,  6 | Type B,  2 | Q Total:    33 | No queue items | 
----------------|  Proc # 0  |  Proc # 1  |  Proc # 2  | Regular Queue  | Priority Queue |----------------
  Time:   400   | Type C,  8 | Type D,  5 | Type B,  1 | Q Total:    34 | No queue items | 
  Time:   401   | Type C,  7 | Type D,  4 | Type A,  3 | Q Total:    33 | No queue items | 
  Time:   402   | Type D,  2 | Type D,  3 | Type A,  2 | Q Total:    34 | No queue items | 
  Time:   403   | Type D,  1 | Type D,  2 | Type A,  1 | Q Total:    35 | No queue items | 
  Time:   404   | Type C,  6 | Type D,  1 | Type A,  5 | Q Total:    34 | No queue items | 
  Time:   405   | Type C,  5 | Type B,  8 | Type A,  4 | Q Total:    33 | No queue items | 
  Time:   406   | Type C,  4 | Type B,  7 | Type A,  3 | Q Total:    34 | No queue items | 
  Time:   407   | Type C,  3 | Type B,  6 | Type A,  2 | Q Total:    34 | No queue items | 
  Time:   408   | Type C,  2 | Type B,  5 | Type A,  1 | Q Total:    34 | No queue items | 
  Time:   409   | Type C,  1 | Type B,  4 | Type C, 12 | Q Total:    34 | No queue items | 
  Time:   410   | Type D,  4 | Type B,  3 | Type C, 11 | Q Total:    34 | No queue items | 
  Time:   411   | Type D,  3 | Type B,  2 | Type C, 10 | Q Total:    35 | No queue items | 
  Time:   412   | Type D,  2 | Type B,  1 | Type C,  9 | Q Total:    35 | No queue items | 
  Time:   413   | Type D,  1 | Type A,  3 | Type C,  8 | Q Total:    35 | No queue items | 
  Time:   414   | Type B,  6 | Type A,  2 | Type C,  7 | Q Total:    34 | No queue items | 
  Time:   415   | Type B,  5 | Type A,  1 | Type C,  6 | Q Total:    34 | No queue items | 
  Time:   416   | Type B,  4 | Type A,  1 | Type C,  5 | Q Total:    33 | No queue items | 
  Time:   417   | Type B,  3 | Type A,  5 | Type C,  4 | Q Total:    32 | No queue items | 
  Time:   418   | Type B,  2 | Type A,  4 | Type C,  3 | Q Total:    32 | No queue items | 
  Time:   419   | Type D,  3 | Type A,  3 | Type C,  2 | Q Total:    35 | No queue items | 
  Time:   420   | Type D,  2 | Type A,  2 | Type C,  1 | Q Total:    35 | No queue items | 
  Time:   421   | Type D,  1 | Type A,  1 | Type B,  1 | Q Total:    35 | No queue items | 
  Time:   422   | Type C,  7 | Type B,  3 | Type A,  1 | Q Total:    32 | No queue items | 
  Time:   423   | Type D,  6 | Type B,  2 | Type C,  6 | Q Total:    32 | No queue items | 
  Time:   424   | Type D,  5 | Type B,  1 | Type C,  5 | Q Total:    33 | No queue items | 
  Time:   425   | Type D,  4 | Type B,  3 | Type C,  4 | Q Total:    32 | No queue items | 
  Time:   426   | Type D,  3 | Type B,  2 | Type C,  3 | Q Total:    33 | No queue items | 
  Time:   427   | Type D,  2 | Type B,  1 | Type C,  2 | Q Total:    33 | No queue items | 
  Time:   428   | Type D,  1 | Type A,  2 | Type C,  1 | Q Total:    33 | No queue items | 
  Time:   429   | Type A,  3 | Type A,  1 | Type B,  4 | Q Total:    31 | No queue items | 
  Time:   430   | Type A,  2 | Type C, 10 | Type B,  3 | Q Total:    31 | No queue items | 
  Time:   431   | Type A,  1 | Type C,  9 | Type B,  2 | Q Total:    31 | No queue items | 
  Time:   432   | Type A,  3 | Type C,  8 | Type B,  1 | Q Total:    31 | No queue items | 
  Time:   433   | Type D, 20 | Type C,  7 | Type A,  2 | Q Total:    32 | No queue items | 
  Time:   434   | Type D, 19 | Type C,  6 | Type A,  1 | Q Total:    32 | No queue items | 
  Time:   435   | Type D, 18 | Type C,  5 | Type B,  6 | Q Total:    32 | No queue items | 
  Time:   436   | Type D, 17 | Type C,  4 | Type B,  5 | Q Total:    32 | No queue items | 
  Time:   437   | Type D, 16 | Type C,  3 | Type B,  4 | Q Total:    32 | No queue items | 
  Time:   438   | Type D, 15 | Type C,  2 | Type B,  3 | Q Total:    32 | No queue items | 
  Time:   439   | Type D, 14 | Type C,  1 | Type B,  2 | Q Total:    33 | No queue items | 
  Time:   440   | Type D, 13 | Type A,  4 | Type B,  1 | Q Total:    32 | No queue items | 
  Time:   441   | Type D, 12 | Type A,  3 | Type C,  9 | Q Total:    32 | No queue items | 
  Time:   442   | Type D, 11 | Type A,  2 | Type C,  8 | Q Total:    32 | No queue items | 
  Time:   443   | Type D, 10 | Type A,  1 | Type C,  7 | Q Total:    32 | No queue items | 
  Time:   444   | Type D,  9 | Type D,  4 | Type C,  6 | Q Total:    32 | No queue items | 
  Time:   445   | Type D,  8 | Type D,  3 | Type C,  5 | Q Total:    34 | No queue items | 
  Time:   446   | Type D,  7 | Type D,  2 | Type C,  4 | Q Total:    34 | No queue items | 
  Time:   447   | Type D,  6 | Type D,  1 | Type C,  3 | Q Total:    35 | No queue items | 
  Time:   448   | Type D,  5 | Type D, 14 | Type C,  2 | Q Total:    35 | No queue items | 
  Time:   449   | Type D,  4 | Type D, 13 | Type C,  1 | Q Total:    36 | No queue items | 
----------------|  Proc # 0  |  Proc # 1  |  Proc # 2  | Regular Queue  | Priority Queue |----------------
  Time:   450   | Type D,  3 | Type D, 12 | Type A,  5 | Q Total:    35 | No queue items | 
  Time:   451   | Type D,  2 | Type D, 11 | Type A,  4 | Q Total:    35 | No queue items | 
  Time:   452   | Type D,  1 | Type D, 10 | Type A,  3 | Q Total:    35 | No queue items | 
  Time:   453   | Type B,  6 | Type D,  9 | Type A,  2 | Q Total:    35 | No queue items | 
  Time:   454   | Type D,  4 | Type D,  8 | Type A,  1 | Q Total:    36 | No queue items | 
  Time:   455   | Type D,  3 | Type D,  7 | Type B,  5 | Q Total:    36 | No queue items | 
  Time:   456   | Type D,  2 | Type D,  6 | Type B,  4 | Q Total:    36 | No queue items | 
  Time:   457   | Type D,  1 | Type D,  5 | Type B,  3 | Q Total:    36 | No queue items | 
  Time:   458   | Type A,  4 | Type D,  4 | Type B,  2 | Q Total:    36 | No queue items | 
  Time:   459   | Type A,  3 | Type D,  3 | Type B,  1 | Q Total:    37 | No queue items | 
  Time:   460   | Type A,  2 | Type D,  2 | Type B,  4 | Q Total:    36 | No queue items | 
  Time:   461   | Type A,  1 | Type D,  1 | Type B,  3 | Q Total:    37 | No queue items | 
  Time:   462   | Type A,  4 | Type B,  7 | Type B,  2 | Q Total:    35 | No queue items | 
  Time:   463   | Type A,  3 | Type B,  6 | Type B,  1 | Q Total:    35 | No queue items | 
  Time:   464   | Type A,  2 | Type B,  5 | Type C,  9 | Q Total:    36 | No queue items | 
  Time:   465   | Type A,  1 | Type B,  4 | Type C,  8 | Q Total:    36 | No queue items | 
  Time:   466   | Type A,  2 | Type B,  3 | Type C,  7 | Q Total:    35 | No queue items | 
  Time:   467   | Type D,  6 | Type B,  2 | Type C,  6 | Q Total:    36 | No queue items | 
  Time:   468   | Type D,  5 | Type B,  1 | Type C,  5 | Q Total:    38 | No queue items | 
  Time:   469   | Type D,  4 | Type A,  1 | Type C,  4 | Q Total:    37 | No queue items | 
  Time:   470   | Type D,  3 | Type B,  8 | Type C,  3 | Q Total:    36 | No queue items | 
  Time:   471   | Type D,  2 | Type B,  7 | Type C,  2 | Q Total:    37 | No queue items | 
  Time:   472   | Type D,  1 | Type D, 12 | Type C,  1 | Q Total:    39 | No queue items | 
  Time:   473   | Type B,  6 | Type D, 11 | Type A,  1 | Q Total:    37 | No queue items | 
  Time:   474   | Type B,  5 | Type D, 10 | Type A,  4 | Q Total:    36 | No queue items | 
  Time:   475   | Type B,  4 | Type D,  9 | Type A,  3 | Q Total:    37 | No queue items | 
  Time:   476   | Type B,  3 | Type D,  8 | Type A,  2 | Q Total:    37 | No queue items | 
  Time:   477   | Type B,  2 | Type D,  7 | Type A,  1 | Q Total:    38 | No queue items | 
  Time:   478   | Type B,  1 | Type D,  6 | Type B,  4 | Q Total:    37 | No queue items | 
  Time:   479   | Type C,  6 | Type D,  5 | Type B,  3 | Q Total:    36 | No queue items | 
  Time:   480   | Type C,  5 | Type D,  4 | Type B,  2 | Q Total:    36 | No queue items | 
  Time:   481   | Type C,  4 | Type D,  3 | Type B,  1 | Q Total:    36 | No queue items | 
  Time:   482   | Type C,  3 | Type D,  2 | Type A,  2 | Q Total:    36 | No queue items | 
  Time:   483   | Type C,  2 | Type D,  1 | Type A,  1 | Q Total:    37 | No queue items | 
  Time:   484   | Type C,  1 | Type B,  6 | Type A,  1 | Q Total:    35 | No queue items | 
  Time:   485   | Type D, 18 | Type B,  5 | Type C,  7 | Q Total:    34 | No queue items | 
  Time:   486   | Type D, 17 | Type B,  4 | Type C,  6 | Q Total:    34 | No queue items | 
  Time:   487   | Type D, 16 | Type B,  3 | Type C,  5 | Q Total:    35 | No queue items | 
  Time:   488   | Type D, 15 | Type B,  2 | Type C,  4 | Q Total:    35 | No queue items | 
  Time:   489   | Type D, 14 | Type B,  1 | Type C,  3 | Q Total:    36 | No queue items | 
  Time:   490   | Type D, 13 | Type A,  5 | Type C,  2 | Q Total:    36 | No queue items | 
  Time:   491   | Type D, 12 | Type A,  4 | Type C,  1 | Q Total:    36 | No queue items | 
  Time:   492   | Type D, 11 | Type A,  3 | Type B,  5 | Q Total:    35 | No queue items | 
  Time:   493   | Type D, 10 | Type A,  2 | Type B,  4 | Q Total:    36 | No queue items | 
  Time:   494   | Type D,  9 | Type A,  1 | Type B,  3 | Q Total:    36 | No queue items | 
  Time:   495   | Type D,  8 | Type D, 11 | Type B,  2 | Q Total:    36 | No queue items | 
  Time:   496   | Type D,  7 | Type D, 10 | Type B,  1 | Q Total:    37 | No queue items | 
  Time:   497   | Type D,  6 | Type D,  9 | Type A,  3 | Q Total:    37 | No queue items | 
  Time:   498   | Type D,  5 | Type D,  8 | Type A,  2 | Q Total:    37 | No queue items | 
  Time:   499   | Type D,  4 | Type D,  7 | Type A,  1 | Q Total:    37 | No queue items | 
----------------|  Proc # 0  |  Proc # 1  |  Proc # 2  | Regular Queue  | Priority Queue |----------------
  Time:   500   | Type D,  3 | Type D,  6 | Type A,  4 | Q Total:    36 | No queue items | 
  Time:   501   | Type D,  2 | Type D,  5 | Type A,  3 | Q Total:    36 | No queue items | 
  Time:   502   | Type D,  1 | Type D,  4 | Type A,  2 | Q Total:    37 | No queue items | 
  Time:   503   | Type B,  8 | Type D,  3 | Type A,  1 | Q Total:    36 | No queue items | 
  Time:   504   | Type B,  7 | Type D,  2 | Type C,  9 | Q Total:    36 | No queue items | 
  Time:   505   | Type D,  9 | Type D,  1 | Type C,  8 | Q Total:    37 | No queue items | 
